"","GPS_LAT","GPS_LONG","class"
"346",56.4015,26.03034,"3"
"347",56.6807,26.1498,"3"
"348",56.71559,26.16491,"3"
"349",57.00394,26.35866,"3"
"350",56.39892,26.19591,"3"
"351",56.6913,26.3561,"3"
"352",56.54248,26.22427,"3"
"353",56.30766,26.19016,"3"
"354",56.54776,26.32702,"3"
"355",56.70465,26.39559,"3"
"356",56.3008,26.3869,"3"
"357",56.37052,26.41712,"3"
"358",56.45765,26.45511,"3"
"359",56.68415,26.55477,"3"
"360",56.31704,26.26075,"3"
"361",56.33043,26.2998,"3"
"362",56.57448,26.40572,"3"
"363",56.43096,26.37662,"3"
"364",56.55297,26.42983,"3"
"365",56.33974,26.37045,"3"
"366",56.40947,26.40071,"3"
"367",56.44432,26.41585,"3"
"368",56.21066,26.51412,"3"
"369",56.36743,26.58261,"3"
"370",56.40226,26.5979,"3"
"371",55.91315,26.25421,"3"
"372",56.41871,26.4715,"3"
"373",56.66261,26.57885,"3"
"374",56.69745,26.59434,"3"
"375",56.73227,26.60983,"3"
"376",57.51477,26.96785,"3"
"377",57.52501,27.04126,"3"
"378",56.67589,26.61841,"3"
"379",56.39307,26.52709,"3"
"380",56.00562,26.39249,"3"
"381",55.85801,26.3954,"3"
"382",56.10202,26.50018,"3"
"383",56.20243,26.57702,"3"
"384",57.45472,27.14617,"3"
"385",57.18935,27.05717,"3"
"386",55.72898,26.53744,"3"
"387",55.76381,26.55242,"3"
"388",57.17306,27.18469,"3"
"389",56.4913,27.03934,"3"
"390",56.52604,27.05515,"3"
"391",56.05151,26.74325,"3"
"392",55.82111,26.675751,"3"
"393",55.97927,26.74937,"3"
"394",56.02998,26.7669,"3"
"395",56.13444,26.81286,"3"
"396",56.46498,26.96038,"3"
"397",56.53455,26.99185,"3"
"398",56.00844,26.7905,"3"
"399",56.07784,26.82105,"3"
"400",56.47814,26.9999,"3"
"401",56.5129,27.01565,"3"
"402",57.13852,27.30509,"3"
"403",56.0242,26.83468,"3"
"404",56.10862,26.8678,"3"
"405",56.21304,26.91426,"3"
"406",56.45198,27.0561,"3"
"407",55.80449,26.80025,"3"
"408",55.72238,26.86311,"3"
"409",55.8225,26.93987,"3"
"410",56.01405,27.02423,"3"
"411",55.99222,27.04812,"3"
"412",55.93217,27.35219,"3"
"413",55.96719,27.36843,"3"
"414",55.94078,27.28987,"3"
"415",55.95383,27.32888,"3"
"416",55.94954,27.6251,"3"
"417",55.98422,27.64114,"3"
"418",55.93655,27.58604,"3"
"419",55.9713,27.59658,"3"
"420",55.90617,27.40656,"3"
"421",55.91921,27.44556,"3"
"422",55.87585,27.49195,"3"
"423",55.9279,27.51579,"3"
"424",57.57299,25.9269,"3"
"425",56.82914,26.85596,"3"
"426",57.17699,27.01576,"3"
"427",57.0255,27.18385,"3"
"428",56.6525,27.34892,"3"
"429",56.75236,27.42933,"3"
"430",56.78705,27.44562,"3"
"431",56.94323,27.5194,"3"
"432",56.97797,27.53593,"3"
"433",56.69592,27.4367,"3"
"434",56.95625,27.55957,"3"
"435",57.07765,27.61765,"3"
"436",57.16439,27.65939,"3"
"437",57.03857,27.63308,"3"
"438",57.12529,27.67478,"3"
"439",56.93011,27.61522,"3"
"440",56.98215,27.6401,"3"
"441",57.01647,27.6608,"3"
"442",56.71759,27.54821,"3"
"443",56.99509,27.68035,"3"
"444",56.74792,27.59638,"3"
"445",55.88314,26.90065,"3"
"446",57.35996,27.58226,"3"
"447",55.93089,26.95237,"3"
"448",55.85731,26.95525,"3"
"449",56.13557,27.07913,"3"
"450",55.87052,26.99408,"3"
"451",56.81932,24.52887,"3"
"452",56.30266,24.56275,"3"
"453",56.75151,24.80494,"3"
"454",58.01244,25.32321,"3"
"455",57.95611,25.33375,"3"
"456",57.63344,25.26564,"3"
"457",57.59462,25.28362,"3"
"458",57.75211,25.35033,"3"
"459",57.8396,25.38767,"3"
"460",57.87459,25.40266,"3"
"461",56.43488,24.84598,"3"
"462",57.53829,25.29418,"3"
"463",57.6433,25.33852,"3"
"464",57.85278,25.42815,"3"
"465",57.92318,25.45752,"3"
"466",57.55198,25.33423,"3"
"467",57.74442,25.41599,"3"
"468",57.86687,25.46855,"3"
"469",57.56564,25.3743,"3"
"470",57.61811,25.39656,"3"
"471",57.68836,25.4268,"3"
"472",57.72307,25.44132,"3"
"473",57.88047,25.50903,"3"
"474",57.64925,25.44419,"3"
"475",56.84039,25.14146,"3"
"476",57.66287,25.4844,"3"
"477",57.62015,25.53486,"3"
"478",57.70756,25.5725,"3"
"479",57.75611,25.62801,"3"
"480",56.58015,25.17016,"3"
"481",56.61517,25.18429,"3"
"482",57.68229,25.63046,"3"
"483",57.71724,25.64562,"3"
"484",57.8064,25.68401,"3"
"485",57.8763,25.71299,"3"
"486",57.88806,25.75478,"3"
"487",56.28491,25.18476,"3"
"488",57.77141,25.80733,"3"
"489",57.6063,25.80395,"3"
"490",57.72746,26.16786,"3"
"491",57.5275,26.14737,"3"
"492",57.29665,26.07951,"3"
"493",57.57578,26.20332,"3"
"494",57.64554,26.23462,"3"
"495",57.3235,26.15966,"3"
"496",57.41072,26.19834,"3"
"497",57.48048,26.22945,"3"
"498",57.45899,26.25416,"3"
"499",57.31542,26.22444,"3"
"500",57.47237,26.29447,"3"
"501",57.5421,26.32583,"3"
"502",57.49907,26.37521,"3"
"503",57.3768,26.49166,"3"
"504",57.43544,26.58678,"3"
"505",57.37075,26.66015,"3"
"506",57.37983,26.7329,"3"
"507",57.33665,26.78164,"3"
"508",57.56756,26.99226,"3"
"509",56.79015,22.91396,"3"
"510",56.83981,22.96442,"3"
"511",56.80608,25.429921,"3"
"512",56.80264,23.15169,"3"
"513",56.77513,23.24206,"3"
"514",56.44475,23.25902,"3"
"515",56.53813,25.52024,"3"
"516",56.35938,25.48027,"3"
"517",56.33416,25.5364,"3"
"518",56.22256,25.55661,"3"
"519",56.79036,25.86056,"3"
"520",57.09297,26.67032,"3"
"521",57.08465,26.73459,"3"
"522",56.88898,26.68004,"3"
"523",57.1675,26.80653,"3"
"524",56.8326,26.68847,"3"
"525",56.58472,26.61155,"3"
"526",56.65434,26.64246,"3"
"527",56.7414,26.68132,"3"
"528",56.81103,26.71256,"3"
"529",56.86324,26.73611,"3"
"530",57.17649,26.8788,"3"
"531",56.78946,26.73665,"3"
"532",56.59381,26.68273,"3"
"533",56.6816,26.72074,"3"
"534",57.15067,26.93526,"3"
"535",57.18545,26.95129,"3"
"536",56.60706,26.72225,"3"
"537",56.64189,26.73779,"3"
"538",56.79853,26.80829,"3"
"539",56.65661,27.18222,"3"
"540",57.13409,27.61061,"3"
"541",56.64385,27.41231,"3"
"542",56.90874,21.2539,"3"
"543",56.60357,26.88874,"3"
"544",56.95139,27.04747,"3"
"545",57.07305,27.10388,"3"
"546",56.61674,26.9283,"3"
"547",56.66894,26.95199,"3"
"548",56.92974,27.07142,"3"
"549",56.9819,27.09553,"3"
"550",57.01666,27.11168,"3"
"551",57.1383,27.16844,"3"
"552",56.59514,26.95213,"3"
"553",56.9081,27.09537,"3"
"554",56.56932,27.00768,"3"
"555",56.91698,27.16729,"3"
"556",56.93433,27.17539,"3"
"557",56.86058,27.17506,"3"
"558",56.94743,27.21543,"3"
"559",56.6508,27.11923,"3"
"560",56.60871,27.12654,"3"
"561",56.85197,27.23882,"3"
"562",57.12553,27.40141,"3"
"563",56.75654,27.26221,"3"
"564",56.63065,27.23765,"3"
"565",56.66541,27.25373,"3"
"566",56.73488,27.28589,"3"
"567",56.86948,27.38269,"3"
"568",56.63946,27.30911,"3"
"569",57.07343,27.51325,"3"
"570",56.72195,27.3813,"3"
"571",57.08652,21.50816,"3"
"572",56.97769,21.70826,"3"
"573",56.99218,22.71587,"3"
"574",57.30979,22.82521,"3"
"575",57.26648,21.5304,"3"
"576",57.3019,21.54144,"3"
"577",57.33731,21.55251,"3"
"578",57.12194,21.51911,"3"
"579",57.15736,21.53009,"3"
"580",57.13676,21.55722,"3"
"581",57.18988,21.57373,"3"
"582",57.26151,21.59631,"3"
"583",57.34921,21.62363,"3"
"584",56.9922,21.5459,"3"
"585",57.22237,21.61746,"3"
"586",57.3109,21.64525,"3"
"587",57.3817,21.66759,"3"
"588",56.95306,21.56691,"3"
"589",57.52894,22.05327,"3"
"590",57.23718,21.65569,"3"
"591",57.27258,21.66684,"3"
"592",57.36108,21.69481,"3"
"593",57.02184,21.62185,"3"
"594",56.87732,21.61035,"3"
"595",56.93043,21.62682,"3"
"596",56.96583,21.63782,"3"
"597",57.03662,21.65987,"3"
"598",57.1753,21.73692,"3"
"599",57.49377,21.8356,"3"
"600",57.02785,21.7574,"3"
"601",57.11633,21.78532,"3"
"602",57.41412,21.91429,"3"
"603",57.16271,21.86896,"3"
"604",57.12514,21.88868,"3"
"605",56.85681,21.83694,"3"
"606",57.34908,22.02824,"3"
"607",57.50824,22.0804,"3"
"608",56.90323,21.92053,"3"
"609",56.89497,22.01559,"3"
"610",56.96643,22.03847,"3"
"611",57.28394,22.14177,"3"
"612",56.90965,22.05365,"3"
"613",57.00968,22.15279,"3"
"614",56.91375,22.13616,"3"
"615",57.40068,22.45076,"3"
"616",56.86763,22.30673,"3"
"617",56.88951,22.35286,"3"
"618",57.2355,22.46248,"3"
"619",57.35912,22.50427,"3"
"620",57.39444,22.5163,"3"
"621",57.37365,22.54303,"3"
"622",56.91136,22.42123,"3"
"623",56.982,22.44472,"3"
"624",57.07032,22.4742,"3"
"625",57.29988,22.55169,"3"
"626",56.87313,22.44339,"3"
"627",57.00288,22.48336,"3"
"628",57.03191,22.49483,"3"
"629",57.27909,22.57834,"3"
"630",57.25827,22.60499,"3"
"631",57.29358,22.61704,"3"
"632",57.01008,22.54436,"3"
"633",57.32573,22.66182,"3"
"634",57.36103,22.67396,"3"
"635",56.86042,22.57109,"3"
"636",56.984,22.61262,"3"
"637",57.05463,22.63659,"3"
"638",57.30173,22.7211,"3"
"639",57.33703,22.73328,"3"
"640",57.37233,22.7455,"3"
"641",56.87494,22.6093,"3"
"642",57.26325,22.74158,"3"
"643",57.31616,22.76006,"3"
"644",57.35149,22.77208,"3"
"645",57.1367,22.73213,"3"
"646",57.11251,22.79063,"3"
"647",56.93286,22.76256,"3"
"648",57.07065,22.84319,"3"
"649",56.8912,22.81517,"3"
"650",56.92647,22.82726,"3"
"651",56.90563,22.85352,"3"
"652",56.95449,22.90622,"3"
"653",56.9906,22.91629,"3"
"654",57.14933,22.97153,"3"
"655",56.91058,22.92841,"3"
"656",56.9697,22.94221,"3"
"657",57.07555,22.97937,"3"
"658",57.088788,22.98621,"3"
"659",57.01941,22.99334,"3"
"660",56.89272,22.98276,"3"
"661",57.05143,23.0381,"3"
"662",57.08341,23.08288,"3"
"663",56.88298,23.07963,"3"
"664",56.91821,23.09194,"3"
"665",56.89732,23.11807,"3"
"666",56.87642,23.14417,"3"
"667",56.92599,23.19522,"3"
"668",56.96124,23.20754,"3"
"669",56.99649,23.22003,"3"
"670",56.9194,23.25969,"3"
"671",56.38771,23.96613,"3"
"672",56.61272,24.08265,"3"
"673",56.48621,24.06879,"3"
"674",56.46511,24.09411,"3"
"675",56.50026,24.1072,"3"
"676",56.44374,24.11834,"3"
"677",56.47916,24.13252,"3"
"678",56.5108,24.17754,"3"
"679",56.43698,24.18308,"3"
"680",56.67933,24.30777,"3"
"681",56.25576,24.19231,"3"
"682",56.41233,24.24014,"3"
"683",56.5704,24.29974,"3"
"684",57.33846,25.58566,"3"
"685",57.4267,25.62064,"3"
"686",55.75345,26.35099,"3"
"687",56.33496,24.27732,"3"
"688",56.37011,24.29053,"3"
"689",56.49329,24.33056,"3"
"690",55.83349,26.58238,"3"
"691",56.02728,27.0635,"3"
"692",57.44559,26.21388,"3"
"693",57.2016,26.68556,"3"
"694",56.08867,26.46129,"3"
"695",56.24549,26.52926,"3"
"696",56.38409,24.32891,"3"
"697",56.31029,24.33418,"3"
"698",56.28916,24.35925,"3"
"699",56.60513,24.47949,"3"
"700",56.32069,24.40423,"3"
