system:index,groups,label,.geo
83,"[{classification=0, sum=0.0}, {classification=1, sum=150.0}, {classification=2, sum=38.0}, {classification=3, sum=323658.4823529415}, {classification=4, sum=215042.87058823582}, {classification=5, sum=5083.078431372549}, {classification=6, sum=27858.399999999976}]",84,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,57.03383838349832],[24.47968049586717,57.03383838349832],[24.47968049586717,57.20510318143561],[23.894965413222643,57.20510318143561],[23.894965413222643,57.03383838349832]]]}"
84,"[{classification=0, sum=0.0}, {classification=1, sum=18.0}, {classification=2, sum=8.0}, {classification=3, sum=84700.08235294145}, {classification=4, sum=6502.22745098039}, {classification=5, sum=1572.137254901961}, {classification=6, sum=3043.2941176470586}]",85,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,57.20510318143561],[24.47968049586717,57.20510318143561],[24.47968049586717,57.3763679793729],[23.894965413222643,57.3763679793729],[23.894965413222643,57.20510318143561]]]}"
85,"[{classification=0, sum=0.0}, {classification=1, sum=27.0}, {classification=3, sum=149765.02352941202}, {classification=4, sum=4028.5490196078445}, {classification=5, sum=2731.8627450980393}, {classification=6, sum=929.3176470588237}]",86,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,57.3763679793729],[24.47968049586717,57.3763679793729],[24.47968049586717,57.54763277731019],[23.894965413222643,57.54763277731019],[23.894965413222643,57.3763679793729]]]}"
86,"[{classification=0, sum=0.0}, {classification=1, sum=33.34117647058824}, {classification=2, sum=6.0}, {classification=3, sum=127874.54117647075}, {classification=4, sum=5016.956862745083}, {classification=5, sum=1797.9607843137255}, {classification=6, sum=923.9058823529413}]",87,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,57.54763277731019],[24.47968049586717,57.54763277731019],[24.47968049586717,57.71889757524748],[23.894965413222643,57.71889757524748],[23.894965413222643,57.54763277731019]]]}"
87,"[{classification=0, sum=0.0}, {classification=1, sum=96.08235294117648}, {classification=2, sum=6.0}, {classification=3, sum=222492.94117647072}, {classification=4, sum=9467.04313725489}, {classification=5, sum=917.0980392156863}, {classification=6, sum=2826.0941176470587}]",88,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,57.71889757524748],[24.47968049586717,57.71889757524748],[24.47968049586717,57.89016237318477],[23.894965413222643,57.89016237318477],[23.894965413222643,57.71889757524748]]]}"
88,"[{classification=0, sum=0.0}, {classification=3, sum=826.7529411764706}, {classification=4, sum=28.0}, {classification=5, sum=10.0}]",89,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,57.89016237318477],[24.47968049586717,57.89016237318477],[24.47968049586717,58.06142717112206],[23.894965413222643,58.06142717112206],[23.894965413222643,57.89016237318477]]]}"
93,"[{classification=0, sum=0.0}, {classification=1, sum=137.0}, {classification=2, sum=6.0}, {classification=3, sum=275077.4000000004}, {classification=4, sum=3687.043137254902}, {classification=5, sum=1226.235294117647}, {classification=6, sum=3669.835294117647}]",94,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,56.17751439381187],[25.0643955785117,56.17751439381187],[25.0643955785117,56.34877919174916],[24.47968049586717,56.34877919174916],[24.47968049586717,56.17751439381187]]]}"
94,"[{classification=0, sum=0.0}, {classification=1, sum=710.5294117647059}, {classification=2, sum=36.0}, {classification=3, sum=957429.6941176467}, {classification=4, sum=26950.19607843137}, {classification=5, sum=10989.49019607843}, {classification=6, sum=4410.0}]",95,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,56.34877919174916],[25.0643955785117,56.34877919174916],[25.0643955785117,56.52004398968645],[24.47968049586717,56.52004398968645],[24.47968049586717,56.34877919174916]]]}"
95,"[{classification=0, sum=0.0}, {classification=1, sum=574.3686274509804}, {classification=2, sum=44.0}, {classification=3, sum=874910.458823526}, {classification=4, sum=115559.12156862745}, {classification=5, sum=14709.78431372549}, {classification=6, sum=4113.7411764705885}]",96,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,56.52004398968645],[25.0643955785117,56.52004398968645],[25.0643955785117,56.69130878762374],[24.47968049586717,56.69130878762374],[24.47968049586717,56.52004398968645]]]}"
96,"[{classification=0, sum=0.0}, {classification=1, sum=1106.5019607843137}, {classification=2, sum=40.0}, {classification=3, sum=1273411.9176470612}, {classification=4, sum=224067.93725490206}, {classification=5, sum=9095.56862745098}, {classification=6, sum=23735.270588235293}]",97,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,56.69130878762374],[25.0643955785117,56.69130878762374],[25.0643955785117,56.86257358556103],[24.47968049586717,56.86257358556103],[24.47968049586717,56.69130878762374]]]}"
97,"[{classification=0, sum=0.0}, {classification=1, sum=697.0}, {classification=2, sum=42.0}, {classification=3, sum=1028337.3176470546}, {classification=4, sum=37930.41568627451}, {classification=5, sum=30243.666666666664}, {classification=6, sum=4162.494117647058}]",98,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,56.86257358556103],[25.0643955785117,56.86257358556103],[25.0643955785117,57.03383838349832],[24.47968049586717,57.03383838349832],[24.47968049586717,56.86257358556103]]]}"
98,"[{classification=0, sum=0.0}, {classification=1, sum=575.0}, {classification=2, sum=36.0}, {classification=3, sum=1069801.1529411767}, {classification=4, sum=99549.38039215688}, {classification=5, sum=24091.156862745098}, {classification=6, sum=14780.988235294117}]",99,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,57.03383838349832],[25.0643955785117,57.03383838349832],[25.0643955785117,57.20510318143561],[24.47968049586717,57.20510318143561],[24.47968049586717,57.03383838349832]]]}"
99,"[{classification=0, sum=0.0}, {classification=1, sum=431.74901960784314}, {classification=2, sum=30.0}, {classification=3, sum=1070251.6823529422}, {classification=4, sum=70023.6862745098}, {classification=5, sum=45714.62745098039}, {classification=6, sum=2952.0}]",100,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,57.20510318143561],[25.0643955785117,57.20510318143561],[25.0643955785117,57.3763679793729],[24.47968049586717,57.3763679793729],[24.47968049586717,57.20510318143561]]]}"
100,"[{classification=0, sum=0.0}, {classification=1, sum=555.6235294117647}, {classification=2, sum=16.0}, {classification=3, sum=1076169.3764705858}, {classification=4, sum=158769.6313725492}, {classification=5, sum=33782.23529411762}, {classification=6, sum=6240.0}]",101,"{""type"":""Polygon"",""coordinates"":[[[24.47968049586717,57.3763679793729],[25.0643955785117,57.3763679793729],[25.0643955785117,57.54763277731019],[24.47968049586717,57.54763277731019],[24.47968049586717,57.3763679793729]]]}"
