"","LAT","LONG","class","name"
"334",56.28553,25.782,3,"intensive"
"335",56.44276,25.84767,3,"intensive"
"336",56.53007,25.88443,3,"intensive"
"337",56.45627,25.88669,3,"intensive"
"338",56.92759,26.08819,3,"intensive"
"339",56.96252,26.1034,3,"intensive"
"340",56.71418,26.02982,3,"intensive"
"341",56.30864,25.89127,3,"intensive"
"342",56.88467,26.13713,3,"intensive"
"343",56.9719,26.17517,3,"intensive"
"344",56.44036,26.01312,3,"intensive"
"345",56.66727,26.11044,3,"intensive"
"346",56.4015,26.03034,3,"intensive"
"347",56.6807,26.1498,3,"intensive"
"348",56.71559,26.16491,3,"intensive"
"349",57.00394,26.35866,3,"intensive"
"350",56.39892,26.19591,3,"intensive"
"351",56.6913,26.3561,3,"intensive"
"352",56.54248,26.22427,3,"intensive"
"353",56.30766,26.19016,3,"intensive"
"354",56.54776,26.32702,3,"intensive"
"355",56.70465,26.39559,3,"intensive"
"356",56.3008,26.3869,3,"intensive"
"357",56.37052,26.41712,3,"intensive"
"358",56.45765,26.45511,3,"intensive"
"359",56.68415,26.55477,3,"intensive"
"360",56.31704,26.26075,3,"intensive"
"361",56.33043,26.2998,3,"intensive"
"362",56.57448,26.40572,3,"intensive"
"363",56.43096,26.37662,3,"intensive"
"364",56.55297,26.42983,3,"intensive"
"365",56.33974,26.37045,3,"intensive"
"366",56.40947,26.40071,3,"intensive"
"367",56.44432,26.41585,3,"intensive"
"368",56.21066,26.51412,3,"intensive"
"369",56.36743,26.58261,3,"intensive"
"370",56.40226,26.5979,3,"intensive"
"371",55.91315,26.25421,3,"intensive"
"372",56.41871,26.4715,3,"intensive"
"373",56.66261,26.57885,3,"intensive"
"374",56.69745,26.59434,3,"intensive"
"375",56.73227,26.60983,3,"intensive"
"376",57.51477,26.96785,3,"intensive"
"377",57.52501,27.04126,3,"intensive"
"378",56.67589,26.61841,3,"intensive"
"379",56.39307,26.52709,3,"intensive"
"380",56.00562,26.39249,3,"intensive"
"381",55.85801,26.3954,3,"intensive"
"382",56.10202,26.50018,3,"intensive"
"383",56.20243,26.57702,3,"intensive"
"384",57.45472,27.14617,3,"intensive"
"385",57.18935,27.05717,3,"intensive"
"386",55.72898,26.53744,3,"intensive"
"387",55.76381,26.55242,3,"intensive"
"388",57.17306,27.18469,3,"intensive"
"389",56.4913,27.03934,3,"intensive"
"390",56.52604,27.05515,3,"intensive"
"391",56.05151,26.74325,3,"intensive"
"392",55.82111,26.675751,3,"intensive"
"393",55.97927,26.74937,3,"intensive"
"394",56.02998,26.7669,3,"intensive"
