"","pixels","label","area","year","transition","previous_class","current_class"
"430",40,80,1200,"1990","4","2","3"
"431",35,81,1050,"1990","4","2","3"
"432",32,82,960,"1990","4","2","3"
"433",72,83,2160,"1990","4","2","3"
"434",17,84,510,"1990","4","2","3"
"435",6,85,180,"1990","4","2","3"
"436",1,86,30,"1990","4","2","3"
"437",2,87,60,"1990","4","2","3"
"438",9,88,270,"1990","4","2","3"
"439",NA,89,NA,"1990","4","2","3"
"440",4,94,120,"1990","4","2","3"
"441",23,95,690,"1990","4","2","3"
"442",19.1254901960784,96,573.764705882353,"1990","4","2","3"
"443",15,97,450,"1990","4","2","3"
"444",14,98,420,"1990","4","2","3"
"445",31,99,930,"1990","4","2","3"
"446",10,100,300,"1990","4","2","3"
"447",20,101,600,"1990","4","2","3"
"448",26,102,780,"1990","4","2","3"
"449",20,103,600,"1990","4","2","3"
"450",2,104,60,"1990","4","2","3"
"451",NA,108,NA,"1990","4","2","3"
"452",21,109,630,"1990","4","2","3"
"453",5,110,150,"1990","4","2","3"
"454",14.8745098039216,111,446.235294117647,"1990","4","2","3"
"455",14,112,420,"1990","4","2","3"
"456",11,113,330,"1990","4","2","3"
"457",20,114,600,"1990","4","2","3"
"458",32,115,960,"1990","4","2","3"
"459",40,116,1200,"1990","4","2","3"
"460",16,117,480,"1990","4","2","3"
"461",25,118,750,"1990","4","2","3"
"462",21,119,630,"1990","4","2","3"
"463",NA,120,NA,"1990","4","2","3"
"464",NA,121,NA,"1990","4","2","3"
"465",6,122,180,"1990","4","2","3"
"466",16,123,480,"1990","4","2","3"
"467",4,124,120,"1990","4","2","3"
"468",11,125,330,"1990","4","2","3"
"469",10,126,300,"1990","4","2","3"
"470",11,127,330,"1990","4","2","3"
"471",27,128,810,"1990","4","2","3"
"472",23,129,690,"1990","4","2","3"
"473",9,130,270,"1990","4","2","3"
"474",22,131,660,"1990","4","2","3"
"475",16,132,480,"1990","4","2","3"
"476",20,133,600,"1990","4","2","3"
"477",NA,134,NA,"1990","4","2","3"
"478",17,136,510,"1990","4","2","3"
"479",18,137,540,"1990","4","2","3"
"480",14,138,420,"1990","4","2","3"
"481",28.5019607843137,139,855.058823529412,"1990","4","2","3"
"482",26.4980392156863,140,794.941176470588,"1990","4","2","3"
"483",83,141,2490,"1990","4","2","3"
"484",17,142,510,"1990","4","2","3"
"485",10,143,300,"1990","4","2","3"
"486",12,144,360,"1990","4","2","3"
"487",6,145,180,"1990","4","2","3"
"488",10,146,300,"1990","4","2","3"
"489",NA,147,NA,"1990","4","2","3"
"490",2,151,60,"1990","4","2","3"
"491",23,152,690,"1990","4","2","3"
"492",21,153,630,"1990","4","2","3"
"493",11,154,330,"1990","4","2","3"
"494",38,155,1140,"1990","4","2","3"
"495",19,156,570,"1990","4","2","3"
"496",20,157,600,"1990","4","2","3"
"497",13.2509803921569,158,397.529411764706,"1990","4","2","3"
"498",21.7490196078431,159,652.470588235294,"1990","4","2","3"
"499",15,160,450,"1990","4","2","3"
"500",12,161,360,"1990","4","2","3"
"501",2,162,60,"1990","4","2","3"
"502",12,166,360,"1990","4","2","3"
"503",13,167,390,"1990","4","2","3"
"504",10,168,300,"1990","4","2","3"
"505",14,169,420,"1990","4","2","3"
"506",31,170,930,"1990","4","2","3"
"507",29,171,870,"1990","4","2","3"
"508",21,172,630,"1990","4","2","3"
"509",18,173,540,"1990","4","2","3"
"510",10,174,300,"1990","4","2","3"
"511",6,175,180,"1990","4","2","3"
"512",4,176,120,"1990","4","2","3"
"513",NA,183,NA,"1990","4","2","3"
"514",2,184,60,"1990","4","2","3"
"515",3,185,90,"1990","4","2","3"
"516",4,186,120,"1990","4","2","3"
"517",95,3,2850,"1990","5","3","1"
"518",169,4,5070,"1990","5","3","1"
"519",373,5,11190,"1990","5","3","1"
"520",506.125490196078,6,15183.7647058824,"1990","5","3","1"
"521",150,7,4500,"1990","5","3","1"
"522",34,8,1020,"1990","5","3","1"
"523",85,9,2550,"1990","5","3","1"
"524",35,10,1050,"1990","5","3","1"
"525",NA,11,NA,"1990","5","3","1"
"526",49,19,1470,"1990","5","3","1"
"527",320,20,9600,"1990","5","3","1"
"528",247.874509803922,21,7436.23529411765,"1990","5","3","1"
"529",476,22,14280,"1990","5","3","1"
"530",223,23,6690,"1990","5","3","1"
"531",103.996078431373,24,3119.88235294118,"1990","5","3","1"
"532",181.996078431373,25,5459.88235294118,"1990","5","3","1"
"533",84,26,2520,"1990","5","3","1"
"534",8,27,240,"1990","5","3","1"
"535",230,35,6900,"1990","5","3","1"
"536",290,36,8700,"1990","5","3","1"
"537",384.501960784314,37,11535.0588235294,"1990","5","3","1"
"538",314.498039215686,38,9434.94117647059,"1990","5","3","1"
"539",204.498039215686,39,6134.94117647059,"1990","5","3","1"
"540",245.992156862745,40,7379.76470588235,"1990","5","3","1"
"541",136,41,4080,"1990","5","3","1"
"542",44,42,1320,"1990","5","3","1"
"543",NA,43,NA,"1990","5","3","1"
"544",292.698039215686,49,8780.94117647059,"1990","5","3","1"
"545",2405.57254901961,50,72167.1764705882,"1990","5","3","1"
"546",1019.87450980392,51,30596.2352941176,"1990","5","3","1"
"547",888.752941176471,52,26662.5882352941,"1990","5","3","1"
"548",547.749019607843,53,16432.4705882353,"1990","5","3","1"
"549",156.749019607843,54,4702.47058823529,"1990","5","3","1"
"550",99.7490196078431,55,2992.47058823529,"1990","5","3","1"
"551",10,56,300,"1990","5","3","1"
"552",51.9960784313726,64,1559.88235294118,"1990","5","3","1"
"553",993.721568627451,65,29811.6470588235,"1990","5","3","1"
"554",1167.00392156863,66,35010.1176470588,"1990","5","3","1"
"555",855.498039215686,67,25664.9411764706,"1990","5","3","1"
"556",215,68,6450,"1990","5","3","1"
"557",NA,69,NA,"1990","5","3","1"
"558",478.227450980392,79,14346.8235294118,"1990","5","3","1"
"559",1012.49803921569,80,30374.9411764706,"1990","5","3","1"
"560",564.874509803922,81,16946.2352941176,"1990","5","3","1"
"561",433.125490196078,82,12993.7647058824,"1990","5","3","1"
"562",338,83,10140,"1990","5","3","1"
"563",88,84,2640,"1990","5","3","1"
"564",5,85,150,"1990","5","3","1"
"565",13,86,390,"1990","5","3","1"
"566",15,87,450,"1990","5","3","1"
"567",20,88,600,"1990","5","3","1"
"568",NA,89,NA,"1990","5","3","1"
"569",46,94,1380,"1990","5","3","1"
"570",750.678431372549,95,22520.3529411765,"1990","5","3","1"
"571",301.117647058824,96,9033.52941176471,"1990","5","3","1"
"572",553.501960784314,97,16605.0588235294,"1990","5","3","1"
"573",712.498039215686,98,21374.9411764706,"1990","5","3","1"
"574",418.501960784314,99,12555.0588235294,"1990","5","3","1"
"575",293.498039215686,100,8804.94117647059,"1990","5","3","1"
"576",288.874509803922,101,8666.23529411765,"1990","5","3","1"
"577",188.125490196078,102,5643.76470588235,"1990","5","3","1"
"578",172.376470588235,103,5171.29411764706,"1990","5","3","1"
"579",50.7490196078431,104,1522.47058823529,"1990","5","3","1"
"580",66.9294117647059,108,2007.88235294118,"1990","5","3","1"
"581",862,109,25860,"1990","5","3","1"
"582",197,110,5910,"1990","5","3","1"
"583",1454.87450980392,111,43646.2352941177,"1990","5","3","1"
"584",424.247058823529,112,12727.4117647059,"1990","5","3","1"
"585",407.250980392157,113,12217.5294117647,"1990","5","3","1"
"586",386.498039215686,114,11594.9411764706,"1990","5","3","1"
"587",652,115,19560,"1990","5","3","1"
"588",847.247058823529,116,25417.4117647059,"1990","5","3","1"
"589",614.494117647059,117,18434.8235294118,"1990","5","3","1"
"590",618.874509803922,118,18566.2352941176,"1990","5","3","1"
"591",352,119,10560,"1990","5","3","1"
"592",4,120,120,"1990","5","3","1"
"593",NA,121,NA,"1990","5","3","1"
"594",99,122,2970,"1990","5","3","1"
"595",563,123,16890,"1990","5","3","1"
"596",596,124,17880,"1990","5","3","1"
"597",2742,125,82260,"1990","5","3","1"
"598",387.749019607843,126,11632.4705882353,"1990","5","3","1"
"599",503.501960784314,127,15105.0588235294,"1990","5","3","1"
"600",335,128,10050,"1990","5","3","1"
"601",432,129,12960,"1990","5","3","1"
"602",548.749019607843,130,16462.4705882353,"1990","5","3","1"
"603",703.862745098039,131,21115.8823529412,"1990","5","3","1"
